,state_name,date,industry_name,avg_hourly_earnings,unemployment_rate,cpi_national,real_wage_index,wage_growth_yoy
132,Alabama,2023-01-01,Construction,1159.76,2.6,299.17,387.6591904268476,0.06695615374707908
143,Alabama,2023-02-01,Construction,1154.36,2.5,300.84,383.7122723042149,0.02601569652205593
154,Alabama,2023-03-01,Construction,1196.91,2.2,301.836,396.5431558859778,0.029352070039044387
165,Alabama,2023-04-01,Construction,1199.2,1.8,303.363,395.30199793646557,0.059448189343675795
176,Alabama,2023-05-01,Construction,1201.99,2.0,304.127,395.2263363660576,0.034423704162686475
187,Alabama,2023-06-01,Construction,1206.63,2.7,305.109,395.4750597327513,0.06337246192893398
198,Alabama,2023-07-01,Construction,1189.98,2.6,305.691,389.27544481191796,0.04747150213458928
209,Alabama,2023-08-01,Construction,1243.35,2.8,307.026,404.9657032303453,0.09314143536631447
220,Alabama,2023-09-01,Construction,1265.1,2.6,307.789,411.0283343459318,0.08730404290429039
231,Alabama,2023-10-01,Construction,1271.06,2.6,307.671,413.1231087752827,0.05481282313009839
242,Alabama,2023-11-01,Construction,1316.05,2.5,307.051,428.60957951610646,0.1405728647571176
253,Alabama,2023-12-01,Construction,1330.65,2.6,306.746,433.79538771491724,0.1310049977900929
264,Alabama,2024-01-01,Construction,1281.54,3.2,308.417,415.52184218120277,0.10500448368627979
275,Alabama,2024-02-01,Construction,1329.54,3.2,310.326,428.4333249550472,0.15175508506878277
286,Alabama,2024-03-01,Construction,1293.12,2.8,312.332,414.02097767759943,0.08038198360778992
297,Alabama,2024-04-01,Construction,1309.48,2.4,313.548,417.6330258843941,0.09196130753835896
308,Alabama,2024-05-01,Construction,1290.74,2.4,314.069,410.9733848294483,0.07383588881771064
319,Alabama,2024-06-01,Construction,1357.94,3.3,314.175,432.22407893689825,0.12539883808624008
330,Alabama,2024-07-01,Construction,1305.59,3.4,314.54,415.0791632224836,0.09715289332593824
341,Alabama,2024-08-01,Construction,1340.45,3.5,314.796,425.8154487350539,0.07809546788917054
352,Alabama,2024-09-01,Construction,1332.0,3.1,315.301,422.45346510160135,0.05288119516243772
363,Alabama,2024-10-01,Construction,1378.28,3.2,315.664,436.6288205180192,0.08435479048982741
374,Alabama,2024-11-01,Construction,1357.15,3.3,315.493,430.16802274535416,0.03122981649633383
385,Alabama,2024-12-01,Construction,1413.25,3.2,315.605,447.7907510970992,0.06207492578814855
396,Alabama,2025-01-01,Construction,1297.03,3.4,317.671,408.2934860279975,0.012087020303697127
407,Alabama,2025-02-01,Construction,1361.94,3.4,319.082,426.83072062980676,0.02436933074597225
418,Alabama,2025-03-01,Construction,1403.58,3.4,319.799,438.89443056419816,0.08542130660727554
429,Alabama,2025-04-01,Construction,1396.51,2.7,320.795,435.3278573543852,0.06646149616641717
440,Alabama,2025-05-01,Construction,1361.53,2.8,321.465,423.5391100119765,0.05484450780172612
451,Alabama,2025-06-01,Construction,1363.63,3.0,322.561,422.75104553867334,0.004190170405172555
462,Alabama,2025-07-01,Construction,1368.86,2.9,323.048,423.7326960699338,0.048460849118023175
473,Alabama,2025-08-01,Construction,1376.88,2.7,323.976,424.9944440328914,0.027177440411802145
484,Alabama,2025-09-01,Construction,1366.97,2.9,324.8,420.8651477832512,0.026253753753753717
495,Alabama,2025-10-01,Construction,1377.0,2.9,324.74350000000004,424.0269628183474,-0.0009286937342194435
506,Alabama,2025-11-01,Construction,1407.46,2.7,324.122,434.23772530096693,0.037070331208783
517,Alabama,2025-12-01,Construction,1421.56,2.3,324.054,438.6799730909046,0.005880063683000092
133,Alabama,2023-01-01,Financial Activities,1303.78,2.6,299.17,435.7990440217936,0.03926601409303965
144,Alabama,2023-02-01,Financial Activities,1276.9,2.5,300.84,424.44488764791924,0.058341828911488536
155,Alabama,2023-03-01,Financial Activities,1257.67,2.2,301.836,416.67329278151055,0.08419827586206896
166,Alabama,2023-04-01,Financial Activities,1293.6,1.8,303.363,426.41983366461955,0.0797275641025641
177,Alabama,2023-05-01,Financial Activities,1253.27,2.0,304.127,412.0877133565911,0.003217930758455001
188,Alabama,2023-06-01,Financial Activities,1282.82,2.7,305.109,420.446463395049,0.09432288334399663
199,Alabama,2023-07-01,Financial Activities,1339.5,2.6,305.691,438.1875815774753,0.11624999999999996
210,Alabama,2023-08-01,Financial Activities,1317.94,2.8,307.026,429.2600626657026,0.08888264648534339
221,Alabama,2023-09-01,Financial Activities,1293.08,2.6,307.789,420.11897761128563,0.08578242031370698
232,Alabama,2023-10-01,Financial Activities,1359.09,2.6,307.671,441.73484013767956,0.05905042429342866
243,Alabama,2023-11-01,Financial Activities,1321.68,2.5,307.051,430.44315113775895,0.10780681608636633
254,Alabama,2023-12-01,Financial Activities,1349.82,2.6,306.746,440.044857960658,0.08386195378117511
265,Alabama,2024-01-01,Financial Activities,1336.61,3.2,308.417,433.3775375546743,0.025180628633665103
276,Alabama,2024-02-01,Financial Activities,1376.25,3.2,310.326,443.48523810444493,0.0778056229931865
287,Alabama,2024-03-01,Financial Activities,1327.44,2.8,312.332,425.0092849916115,0.0554756017079201
298,Alabama,2024-04-01,Financial Activities,1319.05,2.4,313.548,420.6851901463253,0.01967377860234998
309,Alabama,2024-05-01,Financial Activities,1328.3,2.4,314.069,422.93254030165343,0.05986738691582816
320,Alabama,2024-06-01,Financial Activities,1303.51,3.3,314.175,414.8993395400653,0.016128529333811592
331,Alabama,2024-07-01,Financial Activities,1243.65,3.4,314.54,395.38691422394606,-0.07155655095184765
342,Alabama,2024-08-01,Financial Activities,1267.46,3.5,314.796,402.62900418048514,-0.038302198886140504
353,Alabama,2024-09-01,Financial Activities,1290.87,3.1,315.301,409.40878715893695,-0.0017090976583041817
364,Alabama,2024-10-01,Financial Activities,1263.83,3.2,315.664,400.3719144406711,-0.07009101678328877
375,Alabama,2024-11-01,Financial Activities,1269.73,3.3,315.493,402.45900859923995,-0.03930603474365957
386,Alabama,2024-12-01,Financial Activities,1310.64,3.2,315.605,415.27859191077454,-0.029026092367871126
397,Alabama,2025-01-01,Financial Activities,1239.73,3.4,317.671,390.2559566343796,-0.07248187579024534
408,Alabama,2025-02-01,Financial Activities,1331.63,3.4,319.082,417.33159501319415,-0.03242143505903716
419,Alabama,2025-03-01,Financial Activities,1304.72,3.4,319.799,407.981263230967,-0.01711565117820768
430,Alabama,2025-04-01,Financial Activities,1300.51,2.7,320.795,405.4022038996867,-0.014055570296804487
441,Alabama,2025-05-01,Financial Activities,1294.63,2.8,321.465,402.72813525578215,-0.02534818941504169
452,Alabama,2025-06-01,Financial Activities,1322.02,3.0,322.561,409.8511599356401,0.014200121211191297
463,Alabama,2025-07-01,Financial Activities,1291.3,2.9,323.048,399.72388004259426,0.0383146383628834
474,Alabama,2025-08-01,Financial Activities,1331.42,2.7,323.976,410.96254043509396,0.05046313098638233
485,Alabama,2025-09-01,Financial Activities,1315.97,2.9,324.8,405.16317733990144,0.019444250776608163
